path,semantic_review,remediation_status,finding,commit,verification
backend/g1_teleop/inspection_contact.py,full_text_review,review_complete,,00038644d0f0c843b26b1349c061e1c6371f43b7,full_source_and_test_review
backend/g1_teleop/inspection_demo.py,full_text_review,review_complete,,00038644d0f0c843b26b1349c061e1c6371f43b7,full_source_and_test_review
backend/tests/test_inspection_contact.py,full_text_review,test_review_complete,,00038644d0f0c843b26b1349c061e1c6371f43b7,full_test_review
backend/tests/test_inspection_demo.py,full_text_review,test_review_complete,,00038644d0f0c843b26b1349c061e1c6371f43b7,full_test_review
backend/tests/test_gate7_mujoco_feedback_receiver.py,full_text_review,test_review_complete,,00038644d0f0c843b26b1349c061e1c6371f43b7,full_test_review
backend/tests/test_batch_failure_guidance.py,full_text_review,test_review_complete,,00038644d0f0c843b26b1349c061e1c6371f43b7,full_test_review
backend/tests/test_code_index.py,full_text_review,test_review_complete,,00038644d0f0c843b26b1349c061e1c6371f43b7,full_test_review
backend/tests/test_feasible_target_return.py,full_text_review,test_review_complete,R20,00038644d0f0c843b26b1349c061e1c6371f43b7,full_test_review
backend/tools/inspect_feasible_target_return.py,full_text_review,review_complete_existing_issue,R20,00038644d0f0c843b26b1349c061e1c6371f43b7,full_source_review
backend/tools/build_code_index.py,full_text_review,review_admin_complete,,00038644d0f0c843b26b1349c061e1c6371f43b7,full_source_review
backend/tools/reconcile_review_ledger.py,full_text_review,review_admin_complete,,00038644d0f0c843b26b1349c061e1c6371f43b7,full_source_review
