path,semantic_review,remediation_status,finding,commit,verification
hardware/g1_arm_bridge/g1_right_arm_jog.py,full_text_review,direct_release_integrated,R46,0049ceb268150c73de5bb5b038b680cbb025e0ec,offline_safety_ci_pass
hardware/g1_arm_bridge/test_g1_right_arm_jog_direct_release.py,full_text_review,regression_tests_added,R46,0049ceb268150c73de5bb5b038b680cbb025e0ec,offline_safety_ci_pass
hardware/g1_arm_bridge/runtime_base_state_guard.py,full_text_review,runtime_base_and_startup_odom_binding,R40_R50,8384eb69c08c8ed0f77b381a6d256c209f7997e1,offline_safety_ci_pass
hardware/g1_arm_bridge/test_runtime_base_state_guard.py,full_text_review,regression_tests_added,R40_R50,2adfb089510003e06bdf3d3accf9ea66d07108ff,offline_safety_ci_pass
hardware/g1_arm_bridge/read_only_lowstate_entry.py,full_text_review,raw_odom_forward_evidence,R40_R51,bd638bdfb02f85d1555adbdea0fb08ee6fb86ee2,offline_provenance_ci_pass
hardware/g1_arm_bridge/check_startup_readiness_entry.py,full_text_review,raw_odom_startup_binding,R40_R51,9e1c93e83687e423185add33bfc672ebd632f9c6,offline_provenance_ci_pass
hardware/g1_arm_bridge/startup_state_binding_guard.py,full_text_review,startup_model_base_odom_binding,R40,9f5047ff76ff260f8a2c0c3ea8402dc8bd7916aa,offline_provenance_ci_pass
hardware/g1_arm_bridge/gate6_arm_sdk_hold_entry.py,full_text_review,runtime_startup_odom_binding,R40_R50,6d384abf4901b6e4d8aff1b18cc26360041cc849,offline_safety_ci_pass
hardware/g1_arm_bridge/gate7_live_arm_sdk_entry.py,full_text_review,runtime_startup_odom_binding,R40_R50,e600bad52c3bb13e8edb0c92223c91b1ee026f32,offline_safety_ci_pass
hardware/g1_arm_bridge/g1_right_arm_jog_entry.py,full_text_review,runtime_startup_odom_binding,R40_R50,dc4e0288723611e31081b422add92b1ad002ecda,offline_safety_ci_pass
hardware/g1_arm_bridge/precheck_provenance_guard.py,full_text_review,precheck_state_binding_consumer,R40_R51,51e2c31981f1eb2775b338fc005a73424d2238f8,offline_provenance_ci_pass
hardware/g1_arm_bridge/test_precheck_provenance_guard.py,full_text_review,regression_tests_added,R40_R51,594f66cb6348b35b9bb0a6ab7348ef32871b5275,offline_provenance_ci_pass
hardware/g1_arm_bridge/test_check_startup_readiness_entry.py,full_text_review,regression_tests_added,R40_R51,5cdfbdc27c0d798c52491c3a1e32bbf3a53db867,offline_provenance_ci_pass
